,JPM,XOM,PG,D,VZ,EQR,NEM,AAPL,BA,JNJ,NKE
Date,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
22/11/2013,44.085098,63.418427,64.925758,45.848316,32.24131,31.54071,21.206249,16.341173,116.209656,74.221497,35.567581
25/11/2013,44.230869,63.471828,65.277306,45.662498,32.106506,31.397987,21.033239,16.465034,113.671303,74.517578,35.684837
26/11/2013,43.862606,62.924496,64.688835,45.35281,32.132175,31.577934,20.365911,16.768721,115.192657,74.073418,35.89679
27/11/2013,44.10043,62.610775,64.413681,44.767845,32.055138,32.272915,20.283524,17.16358,115.141319,74.011078,35.775021
29/11/2013,43.900967,62.39719,64.367821,44.671497,31.856121,31.981276,20.45653,17.481413,114.739655,73.761726,35.68935
02/12/2013,43.71682,62.423897,63.695248,44.25856,31.624992,32.055744,19.632666,17.329252,114.662727,73.465614,35.666798
03/12/2013,43.624763,63.004593,64.06974,44.588905,31.843283,32.272915,19.424965,17.80364,112.816628,73.224083,35.684837
04/12/2013,43.877949,63.19149,63.702888,44.521561,31.695618,32.843796,19.84038,17.762144,112.38932,72.959129,35.545029
05/12/2013,42.826836,62.831047,63.198483,44.04948,31.400291,32.651436,19.275414,17.853313,113.440552,72.444832,35.603657
06/12/2013,43.010975,63.845642,64.597115,44.722893,31.766245,32.986515,19.125858,17.605587,115.534477,73.590302,36.014046
09/12/2013,43.356224,63.972454,64.795822,44.250816,31.824022,33.185066,19.607744,17.807096,115.107132,73.590302,35.977959
10/12/2013,43.501999,63.8857,63.932175,44.084198,31.490179,33.50774,20.08963,17.779436,114.269569,73.356567,35.725422
11/12/2013,43.01865,62.91782,64.214973,43.910633,31.130653,32.974091,19.499737,17.647711,113.295242,72.553947,34.65213
12/12/2013,43.202782,63.652058,62.90041,44.084198,30.899536,32.545944,19.341877,17.621933,113.637115,71.034447,34.484753
13/12/2013,43.095364,63.618675,62.953896,44.139732,30.713354,32.397022,19.341877,17.42985,114.380692,71.182472,34.561661
16/12/2013,43.287182,64.893593,62.4342,44.334133,30.982994,32.210861,19.24218,17.526367,115.141319,71.198067,34.579746
17/12/2013,42.750122,64.579887,61.838062,44.348003,30.533602,32.030914,19.200632,17.447462,116.132767,70.644836,34.724514
18/12/2013,43.916313,66.442177,62.96154,44.972824,31.117817,32.576969,19.225554,17.314789,115.799423,72.187714,35.534256
19/12/2013,43.908634,66.368767,62.594707,44.778439,31.092134,32.291531,18.909845,17.116419,115.525948,71.673401,35.40308
20/12/2013,44.269234,65.868126,62.54884,44.813148,30.867445,32.241886,18.810144,17.259769,116.807938,71.759102,34.986889
23/12/2013,44.683537,65.754684,62.143749,44.514626,31.188444,32.173622,18.68552,17.922165,116.577187,71.712372,34.882828
24/12/2013,44.691212,66.228584,62.143749,44.882568,31.445234,32.368439,19.233868,17.846083,116.94471,71.735725,35.131653
26/12/2013,44.652851,67.349968,62.487667,44.729839,31.573648,32.525532,19.383423,17.727564,118.175423,72.109772,35.371414
27/12/2013,44.606819,67.757156,62.678749,44.715954,31.567217,32.575806,19.599438,17.607782,117.004509,71.961723,35.357838
30/12/2013,44.461037,66.956146,62.671108,44.702068,31.554379,32.714054,19.051094,17.432676,116.166946,71.92276,35.620201
31/12/2013,44.867668,67.550224,62.220207,44.910336,31.547958,32.594658,19.134169,17.637022,116.654106,71.369514,35.574959
02/01/2014,44.95261,66.582367,61.555264,44.139732,31.45808,32.670067,19.906847,17.388983,116.807938,70.933113,35.394043
03/01/2014,45.300125,66.422157,61.486465,44.091133,31.085726,32.946552,19.873611,17.007015,117.619911,71.572098,35.299023
06/01/2014,45.562695,66.522293,61.631691,44.09808,31.259058,33.204193,20.006542,17.099756,118.295082,71.946136,35.027599
07/01/2014,45.03756,67.46344,62.227829,44.910336,31.650677,33.26075,19.898542,16.977467,120.089874,73.473412,35.054745
08/01/2014,45.462303,67.243179,61.325977,44.958939,31.47546,33.562378,19.441578,17.08498,120.354828,73.372131,34.873783
09/01/2014,45.377357,66.589035,61.463535,46.04195,30.826477,33.581234,19.275414,16.866806,121.474457,73.816269,34.873783
10/01/2014,45.16885,67.096321,61.371849,47.055534,30.988716,33.662926,19.773912,16.754265,121.277878,73.824074,34.796886
13/01/2014,44.558773,65.781357,61.150204,46.632038,30.521454,33.442989,19.84038,16.84197,120.252274,73.637054,34.009758
14/01/2014,44.589657,66.161842,61.807472,46.590389,30.553907,33.61264,19.449881,17.177095,119.662544,73.808479,34.005226
15/01/2014,45.941097,65.934883,61.746349,46.25716,31.326185,33.794868,19.591129,17.521957,120.183929,73.870842,34.122845
16/01/2014,45.554977,66.041687,61.570553,46.153027,31.494926,33.86401,19.898542,17.424194,119.833511,73.746155,33.833317
17/01/2014,44.875397,66.188522,61.050831,46.021118,31.378107,33.832584,20.397041,16.997274,120.04715,74.073418,33.199997
21/01/2014,44.921734,65.747971,61.280132,46.430717,30.95627,34.197048,20.621367,17.261343,121.081299,73.270821,33.362843
22/01/2014,44.473831,65.334122,61.012135,46.597328,30.716156,33.920555,20.264107,17.338058,123.388908,73.496765,33.249752
23/01/2014,43.608898,64.72673,60.249786,46.097492,31.06011,33.788593,20.912161,17.484869,120.773621,72.265602,32.901436
24/01/2014,42.543205,63.311638,60.973648,45.771202,30.910835,33.744617,20.671211,17.167036,116.790863,70.605865,32.412853
27/01/2014,42.543205,63.358383,60.426888,46.111359,30.949781,33.530949,20.08963,17.306301,117.397682,70.083771,32.525959
28/01/2014,43.04517,63.845642,60.919727,46.000278,30.735628,33.845142,20.488434,15.923053,117.166901,70.208458,32.89238
29/01/2014,42.882992,63.485199,59.787746,46.014164,30.949781,33.901703,20.662907,15.742289,110.919266,69.273392,32.467144
30/01/2014,43.24596,62.73761,59.194798,46.548744,30.910835,34.649498,20.023165,15.711796,108.141571,69.740921,33.448811
31/01/2014,42.751709,61.516087,59.002285,47.145786,31.163942,34.800312,17.946074,15.737575,107.05616,68.938324,32.955711
03/02/2014,41.940849,60.107689,58.293816,46.597328,30.119099,34.435841,17.46419,15.766816,105.192986,67.621391,32.064526
04/02/2014,42.435093,60.087643,58.594151,45.715649,30.385168,34.800312,17.597124,15.995044,104.3041,67.496742,31.897146
05/02/2014,42.63588,59.793961,58.871372,45.611507,30.300795,35.051666,17.339558,16.11451,103.757118,68.011024,31.93786
